source_lo_id,dest_lo_id,source_lo_title,dest_lo_title
fb83cad8-e122-4699-b02d-f8d5955395fe,96ce8c8c-c3ed-43ad-977d-7ef05b647885,Determine the order of a matrix and describe elements within a matrix,Identify transition diagrams and transition matrices
ca3c5dcc-2f12-46f7-af18-1c7cfa8e815a,637b43bf-532b-4bae-9582-82d8c6487a87,Graph a feasible region given a set of constraints,Find the maximum value of an objective function given constraints by graphing
25c82277-0812-4607-a2cd-c4e5ebc1f64f,3a7f3fc2-ed8b-45d0-af08-e6043bd4650d,Rewrite a linear programming problem using slack variables and create an initial simplex tableau,Read a solution from an initial simplex tableau
53fe1ec3-d78f-4ef2-87d0-95ad2e432d79,b75348f3-118a-4b57-bc2e-392c04ce8395,Graph exponential functions,Choose an appropriate model for data
9b7259b0-a2a3-4855-8506-13963992a98e,2e5b372a-d10c-4f73-9bed-39d73f4c1181,Evaluate definite integrals with the Fundamental Theorem of Calculus for functions with positive integer exponents,Find the area of a region between two linear functions
e8728bde-de42-4fc6-91d2-50c49de1db3d,3d8a818c-5cdd-4d29-9e5f-aa40ed728021,"Identify subsets, universal sets, and empty sets",Identify subsets and proper subsets using set notation
1ba5c514-9393-43c8-91dc-bc79d4db1096,8ec3ebf3-186a-4543-8397-b1885ea045b7,Multiply integers - ML,Multiply decimals - ML
a97bced8-0582-4636-9795-c8be90d8cf74,bd401a68-499b-497a-85dc-0afb7e902754,Create a transition diagram and matrix for a given word problem,Solve application problems using stationary matrices
b057e3cc-ba3c-4fbf-bc67-c0de87211b1a,6422ea1c-c6b8-40f2-af72-cf26a51fdb6a,Factor a difference of squares,Factor the sum and difference of cubes
21ab4f96-1b95-4f8e-90a6-a31e3ceb243c,013c18aa-3555-4ced-a568-241877c818af,Evaluate a function using function notation,Solve a function using function notation
d9df435b-f817-49b2-addf-620370aa2800,9bdf688a-929d-4739-b4b5-d4ba0c329fe8,Use the definition of proportion - ML,Write percent equations as proportions - ML
9bb333f7-5071-4ffe-b4e2-bfca49b37595,594c8a35-9858-4858-aabe-d5218b51aa38,594c8a35-9858-4858-aabe-d5218b51aa38,Maximize and minimize quantities given an expression with two variables
28c7e318-8b05-47a7-87ed-033f15ced07b,2c57ec47-9e18-47fa-90f2-2568e53e1b43,Simplify algebraic expressions,"Solve equations in one variable algebraically, variable just on one side"
105be687-b3b4-4cb0-b6e6-88dd600f7b6b,f7d8d175-4f05-488c-8587-8c2ad129a693,"Determine the elements in the set, the binary operation, and the properties of a finite system defined by a given table",Solve problems involving the finite mathematical system 'clock 12 arithmetic'
2d47ff8b-4a5f-49dc-9892-604be3588cd2,53568360-e9fe-465f-a8fc-1c75027cba94,Construct a truth table for a compound statement with a conjunction and disjunction and determine its truth value,Construct a truth table for a conditional statement and determine its truth value
9b7259b0-a2a3-4855-8506-13963992a98e,567f1494-4a67-46d4-9296-c485c32c7ee5,Evaluate definite integrals with the Fundamental Theorem of Calculus for functions with positive integer exponents,Use substitution to evaluate a definite integral with the power rule
442a600d-3d65-4d4d-9758-c2c75d10b662,de916d50-6f65-40ed-99ca-1a0d910d11a3,Multiply a matrix by a scalar,Find the sum or difference of scalar multiples
5ed06f4d-5f95-418d-8740-46a2abd81594,e62e4f28-80f2-499a-9f7d-1075113596cc,Use product and quotient rules to find the derivative of exponential functions with base e,Use product and quotient rules to find the derivative of exponential functions with any base
